term,description
HP:0005927,Aplasia/hypoplasia involving bones of the hand
HP:0006009,Broad phalanx
HP:0006254,Elevated alpha-fetoprotein
HP:0006265,Aplasia/Hypoplasia of fingers
HP:0006292,Abnormality of dental eruption
HP:0006380,Knee flexion contracture
HP:0006481,Abnormality of primary teeth
HP:0006482,Abnormality of dental morphology
HP:0006487,Bowing of the long bones
HP:0006493,Aplasia/hypoplasia involving bones of the lower limbs
HP:0006494,Aplasia/Hypoplasia involving bones of the feet
HP:0006496,Aplasia/hypoplasia involving bones of the upper limbs
HP:0006510,Chronic pulmonary obstruction
HP:0006528,Chronic lung disease
HP:0006532,Recurrent pneumonia
HP:0006538,Recurrent bronchopulmonary infections
HP:0006610,Wide intermamillary distance
HP:0006693,Myocardial steatosis
HP:0006704,Abnormal coronary artery morphology
HP:0006705,Abnormal atrioventricular valve morphology
HP:0006758,Malignant genitourinary tract tumor
HP:0007086,Social and occupational deterioration
HP:0007201,Cerebral artery atherosclerosis
HP:0007256,Abnormal pyramidal sign
HP:0007359,Focal-onset seizure
HP:0007364,Aplasia/Hypoplasia of the cerebrum
HP:0007367,Atrophy/Degeneration affecting the central nervous system
HP:0007369,Atrophy/Degeneration affecting the cerebrum
HP:0007370,Aplasia/Hypoplasia of the corpus callosum
HP:0007378,Neoplasm of the gastrointestinal tract
HP:0007379,Neoplasm of the genitourinary tract
HP:0007392,Excessive wrinkled skin
HP:0007400,Irregular hyperpigmentation
HP:0007430,Generalized edema
HP:0007440,Generalized hyperpigmentation
HP:0007446,Palmoplantar blistering
HP:0007495,Prematurely aged appearance
HP:0007574,Generalized bronze hyperpigmentation
HP:0007700,Ocular anterior segment dysgenesis
HP:0007759,Opacification of the corneal stroma
HP:0007957,Corneal opacity
HP:0008011,Peripheral opacification of the cornea
HP:0008050,Abnormality of the palpebral fissures
HP:0008056,Aplasia/Hypoplasia affecting the eye
HP:0008057,Aplasia/Hypoplasia affecting the fundus
HP:0008065,Aplasia/Hypoplasia of the skin
HP:0008066,Abnormal blistering of the skin
HP:0008067,Abnormally lax or hyperextensible skin
HP:0008069,Neoplasm of the skin
HP:0008070,Sparse hair
HP:0008341,Distal renal tubular acidosis
HP:0008373,Puberty and gonadal disorders
HP:0008551,Microtia
HP:0008678,Renal hypoplasia/aplasia
HP:0009115,Aplasia/hypoplasia involving the skeleton
HP:0009118,Aplasia/Hypoplasia of the mandible
HP:0009121,Abnormal axial skeleton morphology
HP:0009122,Aplasia/hypoplasia affecting bones of the axial skeleton
HP:0009124,Abnormal adipose tissue morphology
HP:0009125,Lipodystrophy
HP:0009127,Abnormality of the musculature of the limbs
HP:0009145,Abnormal cerebral artery morphology
HP:0009179,Deviation of the 5th finger
HP:0009237,Short 5th finger
HP:0009380,Aplasia of the fingers
HP:0009381,Short finger
HP:0009473,Joint contracture of the hand
HP:0009553,Abnormality of the hairline
HP:0009602,Abnormality of thumb phalanx
HP:0009763,Limb pain
HP:0009777,Absent thumb
HP:0009778,Short thumb
HP:0009810,Abnormality of upper limb joint
HP:0009811,Abnormality of the elbow
HP:0009815,Aplasia/hypoplasia of the extremities
HP:0009826,Limb undergrowth
HP:0009830,Peripheral neuropathy
HP:0009891,Underdeveloped supraorbital ridges
HP:0009901,Crumpled ear
HP:0009942,Duplication of thumb phalanx
HP:0009944,Partial duplication of thumb phalanx
HP:0009997,Duplication of phalanx of hand
HP:0009999,Partial duplication of the phalanx of hand
HP:0010066,Duplication of phalanx of hallux
HP:0010161,Abnormality of the phalanges of the toes
HP:0010314,Premature thelarche
HP:0010438,Abnormal ventricular septum morphology
HP:0010460,Abnormality of the female genitalia
HP:0010461,Abnormality of the male genitalia
HP:0010529,Echolalia
HP:0010576,Intracranial cystic lesion
HP:0010622,Neoplasm of the skeletal system
HP:0010647,Abnormal elasticity of skin
HP:0010674,Abnormality of the curvature of the vertebral column
HP:0010676,Mechanical ileus
HP:0010701,Abnormal immunoglobulin level
HP:0010720,Abnormal hair pattern
HP:0010741,Pedal edema
HP:0010749,Blepharochalasis
HP:0010766,Ectopic calcification
HP:0010783,Erythema
HP:0010866,Abdominal wall defect
HP:0010874,Tendon xanthomatosis
HP:0010876,Abnormal circulating protein concentration
HP:0010885,Avascular necrosis
HP:0010929,Abnormal blood cation concentration
HP:0010930,Abnormal blood monovalent inorganic cation concentration
HP:0010935,Abnormality of the upper urinary tract
HP:0010936,Abnormality of the lower urinary tract
HP:0010938,Abnormal external nose morphology
HP:0010944,Abnormal renal pelvis morphology
HP:0010972,Anemia of inadequate production
HP:0010974,Abnormal myeloid leukocyte morphology
HP:0010978,Abnormality of immune system physiology
HP:0010980,Hyperlipoproteinemia
HP:0010987,Abnormal cellular immune system morphology
HP:0010990,Abnormality of the common coagulation pathway
HP:0010993,Abnormal cerebral subcortex morphology
HP:0010995,Abnormal circulating dicarboxylic acid concentration
HP:0011004,Abnormal systemic arterial morphology
HP:0011014,Abnormal glucose homeostasis
HP:0011015,Abnormal blood glucose concentration
HP:0011017,Abnormal cellular physiology
HP:0011024,Abnormality of the gastrointestinal tract
HP:0011025,Abnormal cardiovascular system physiology
HP:0011028,Abnormality of blood circulation
HP:0011029,Internal hemorrhage
HP:0011032,Abnormality of fluid regulation
HP:0011034,Amyloidosis
HP:0011035,Abnormal renal cortex morphology
HP:0011042,Abnormal blood potassium concentration
HP:0011061,Abnormality of dental structure
HP:0011100,Intestinal atresia
HP:0011119,Abnormal nasal dorsum morphology
HP:0011120,Concave nasal ridge
HP:0011121,Abnormality of skin morphology
HP:0011122,Abnormality of skin physiology
HP:0011123,Inflammatory abnormality of the skin
HP:0011138,Abnormality of skin adnexa morphology
HP:0011153,Focal motor seizure
HP:0011217,Abnormal shape of the occiput
HP:0011218,Abnormal shape of the frontal region
HP:0011276,Vascular skin abnormality
HP:0011277,Abnormality of the urinary system physiology
HP:0011297,Abnormal digit morphology
HP:0011314,Abnormal long bone morphology
HP:0011328,Abnormality of fontanelles
HP:0011329,Abnormality of cranial sutures
HP:0011337,Abnormality of mouth size
HP:0011339,Abnormality of upper lip vermillion
HP:0011354,Generalized abnormality of skin
HP:0011355,Localized skin lesion
HP:0011361,Congenital abnormal hair pattern
HP:0011362,Abnormal hair quantity
HP:0011442,Abnormal central motor function
HP:0011443,Abnormality of coordination
HP:0011446,Abnormality of higher mental function
HP:0011448,Ankle clonus
HP:0011450,Unusual CNS infection
HP:0011458,Abdominal symptom
HP:0011514,Abnormality of binocular vision
HP:0011603,Congenital malformation of the great arteries
HP:0011675,Arrhythmia
HP:0011702,Abnormal electrophysiology of sinoatrial node origin
HP:0011729,Abnormality of joint mobility
HP:0011792,Neoplasm by histology
HP:0011793,Neoplasm by anatomical site
HP:0011799,Abnormality of facial soft tissue
HP:0011800,Midface retrusion
HP:0011804,Abnormal muscle physiology
HP:0011805,Abnormal skeletal muscle morphology
HP:0011807,Type 1 muscle fiber atrophy
HP:0011821,Abnormal facial skeleton morphology
HP:0011830,Abnormal oral mucosa morphology
HP:0011839,Abnormal T cell count
HP:0011842,Abnormal skeletal morphology
HP:0011843,Abnormal musculoskeletal physiology
HP:0011844,Abnormal appendicular skeleton morphology
HP:0011873,Abnormal platelet count
HP:0011893,Abnormal leukocyte count
HP:0011902,Abnormal hemoglobin
HP:0011904,Persistence of hemoglobin F
HP:0011927,Short digit
HP:0011936,Decreased plasma total carnitine
HP:0011947,Respiratory tract infection
HP:0011991,Abnormal neutrophil count
HP:0011993,Impaired neutrophil bactericidal activity
HP:0011994,Abnormal atrial septum morphology
HP:0012062,Bone cyst
HP:0012091,Abnormality of pancreas physiology
HP:0012116,Abnormal circulating albumin concentration
HP:0012119,Methemoglobinemia
HP:0012131,Abnormal number of erythroid precursors
HP:0012133,Erythroid hypoplasia
HP:0012210,Abnormal renal morphology
HP:0012211,Abnormal renal physiology
HP:0012236,Elevated sweat chloride
HP:0012243,Abnormal reproductive system morphology
HP:0012252,Abnormal respiratory system morphology
HP:0012332,Abnormal autonomic nervous system physiology
HP:0012337,Abnormal homeostasis
HP:0012368,Flat face
HP:0012372,Abnormal eye morphology
HP:0012373,Abnormal eye physiology
HP:0012378,Fatigue
HP:0012379,Abnormal enzyme/coenzyme activity
HP:0012385,Camptodactyly
HP:0012397,Aortic atherosclerotic lesion
HP:0012410,Pure red cell aplasia
HP:0012418,Hypoxemia
HP:0012433,Abnormal social behavior
HP:0012440,Abnormal biliary tract morphology
HP:0012443,Abnormality of brain morphology
HP:0012444,Brain atrophy
HP:0012452,Restless legs
HP:0012471,Thick vermilion border
HP:0012472,Eclabion
HP:0012514,Lower limb pain
HP:0012531,Pain
HP:0012575,Abnormal nephron morphology
HP:0012638,Abnormal nervous system physiology
HP:0012639,Abnormal nervous system morphology
HP:0012649,Increased inflammatory response
HP:0012718,Morphological abnormality of the gastrointestinal tract
HP:0012719,Functional abnormality of the gastrointestinal tract
HP:0012722,Heart block
HP:0012732,Anorectal anomaly
HP:0012733,Macule
HP:0012758,Neurodevelopmental delay
HP:0012759,Neurodevelopmental abnormality
HP:0020080,Erythrocyte inclusion bodies
HP:0020082,Heinz bodies
HP:0020100,Unusual fungal infection
HP:0020118,Radial artery aplasia
HP:0020129,Abnormal urine protein level
HP:0025015,Abnormal vascular morphology
HP:0025021,Abnormal erythrocyte sedimentation rate
HP:0025031,Abnormality of the digestive system
HP:0025032,Abnormality of digestive system physiology
HP:0025033,Abnormality of digestive system morphology
HP:0025065,Abnormal mean corpuscular volume
HP:0025142,Constitutional symptom
HP:0025155,Abnormality of hepatobiliary system physiology
HP:0025270,Abnormal esophagus physiology
HP:0025323,Abnormal arterial physiology
HP:0025337,Red eye
HP:0025354,Abnormal cellular phenotype
HP:0025408,Abnormal spleen morphology
HP:0025423,Abnormal larynx morphology
HP:0025425,Laryngospasm
HP:0025487,Abnormality of bladder morphology
HP:0025540,Abnormal T cell subset distribution
HP:0025615,Abscess
HP:0025633,Abnormal ureter morphology
HP:0025634,Abnormal ureter physiology
HP:0025668,Abnormal neck morphology
HP:0025722,Cerebral infarct
HP:0030012,Abnormal female reproductive system physiology
HP:0030044,Flexion contracture of digit
HP:0030140,Oral cavity bleeding
HP:0030148,Heart murmur
HP:0030163,Abnormal vascular physiology
HP:0030188,Tremor by anatomical site
HP:0030236,Abnormality of muscle size
HP:0030270,Elevated red cell adenosine deaminase level
HP:0030669,Abnormal ocular adnexa morphology
HP:0030680,Abnormality of cardiovascular system morphology
HP:0030791,Abnormal jaw morphology
HP:0030843,Cardiac amyloidosis
HP:0030846,Abnormality of venous physiology
HP:0030882,Coronary artery aneurysm
HP:0030956,Abnormality of cardiovascular system electrophysiology
HP:0030962,Abnormal morphology of the great vessels
HP:0030972,Abnormal systemic blood pressure
HP:0031065,Abnormal ovarian morphology
HP:0031093,Abnormal breast morphology
HP:0031364,Ecchymosis
HP:0031365,Macular purpura
HP:0031378,Abnormal lymphocyte proliferation
HP:0031409,Abnormal lymphocyte physiology
HP:0031466,Impairment in personality functioning
HP:0031546,Cardiac conduction abnormality
HP:0031567,Abnormal aortic valve cusp morphology
HP:0031652,Abnormal aortic valve physiology
HP:0031653,Abnormal heart valve physiology
HP:0031654,Abnormal pulmonary valve physiology
HP:0031657,Abnormal heart sound
HP:0031703,Abnormal ear morphology
HP:0031879,Abnormal eyelid physiology
HP:0031886,Abnormal LDL cholesterol concentration
HP:0031908,Micrographia
HP:0032039,Abnormality of the ocular adnexa
HP:0032101,Unusual infection
HP:0032153,Joint subluxation
HP:0032169,Severe infection
HP:0032180,Abnormal circulating metabolite concentration
HP:0032251,Abnormal immune system morphology
HP:0032263,Increased blood pressure
HP:0032309,Abnormal granulocyte count
HP:0032341,Reduced forced vital capacity
HP:0032342,Reduced forced expiratory volume in one second
HP:0032359,Decreased forced expiratory flow 25-75%
HP:0032894,Seizure precipitated by febrile infection
HP:0033057,Decreased serum terminal complement component
HP:0033109,Abnormal circulating non-proteinogenic amino acid concentration
HP:0033127,Abnormality of the musculoskeletal system
HP:0033331,Acute phase response
HP:0033353,Abnormal blood vessel morphology
HP:0033354,Abnormal urine metabolite level
HP:0033401,Tissue ischemia
HP:0033479,Abnormal circulating bilirubin concentration
HP:0033725,Thin corpus callosum
HP:0033800,Blistering by anatomical location
HP:0034057,Fetal anomaly
HP:0034058,Abnormal fetal morphology
HP:0034392,Joint contracture
HP:0040036,Onychogryposis of fingernail
HP:0040064,Abnormality of limbs
HP:0040069,Abnormal lower limb bone morphology
HP:0040070,Abnormal upper limb bone morphology
HP:0040081,Abnormal circulating creatine kinase concentration
HP:0040088,Abnormal lymphocyte count
HP:0040133,Abnormal circulating ferritin concentration
HP:0040157,Abnormal intermamillary distance
HP:0040188,Osteochondrosis
HP:0040189,Scaling skin
HP:0040195,Decreased head circumference
HP:0040276,Adenocarcinoma of the colon
HP:0040307,Male sexual dysfunction
HP:0045060,Aplasia/hypoplasia involving bones of the extremities
HP:0046506,Pain in head and neck region
HP:0100022,Abnormality of movement
HP:0100037,Abnormality of the scalp hair
HP:0100242,Sarcoma
HP:0100257,Ectrodactyly
HP:0100261,Abnormal tendon morphology
HP:0100273,Neoplasm of the colon
HP:0100314,Cerebral inclusion bodies
HP:0100323,Juvenile aseptic necrosis
HP:0100326,Immunologic hypersensitivity
HP:0100360,Upper-limb joint contracture
HP:0100491,Abnormality of lower limb joint
HP:0100533,Inflammatory abnormality of the eye
HP:0100538,Abnormality of the supraorbital ridges
HP:0100539,Periorbital edema
HP:0100540,Palpebral edema
HP:0100542,Abnormal localization of kidney
HP:0100543,Cognitive impairment
HP:0100545,Arterial stenosis
HP:0100547,Abnormal forebrain morphology
HP:0100555,Asymmetric growth
HP:0100559,Lower limb asymmetry
HP:0100606,Neoplasm of the respiratory system
HP:0100627,Displacement of the urethral meatus
HP:0100639,Erectile dysfunction
HP:0100658,Cellulitis
HP:0100659,Abnormal cerebral vascular morphology
HP:0100678,Premature skin wrinkling
HP:0100736,Abnormal soft palate morphology
HP:0100749,Chest pain
HP:0100759,Clubbing of fingers
HP:0100763,Abnormality of the lymphatic system
HP:0100784,Peripheral arteriovenous fistula
HP:0100790,Hernia
HP:0100798,Fingernail dysplasia
HP:0100806,Sepsis
HP:0100807,Long fingers
HP:0100820,Glomerulopathy
HP:0100834,Neoplasm of the large intestine
HP:0100851,Abnormal emotion/affect behavior
HP:0100852,Abnormal fear/anxiety-related behavior
HP:0100871,Abnormal palm morphology
HP:0100872,Abnormality of the plantar skin of foot
HP:0100886,Abnormality of globe location
HP:0100887,Abnormality of globe size
HP:0200006,Slanting of the palpebral fissure
HP:0200036,Skin nodule
HP:0200134,Epileptic encephalopathy
HP:0410008,Abnormality of the peripheral nervous system
HP:0410042,Abnormal liver morphology
HP:0410054,Decreased circulating GABA concentration
HP:0430026,Obsolete Abnormality of the shape of the midface
MONDO:0004992,Cancer
MONDO:0045024,Cancer or benign tumor
